"R0000100","R0618301","T4112300"
1,-4,-5
2,6841,43000
3,49444,93000
4,55761,-5
5,96772,-5
6,99393,157000
7,47412,-5
8,44022,41200
9,59683,150000
10,30039,-5
11,85347,-5
12,89641,-5
13,72313,-5
14,98798,103000
15,82260,497763
16,50283,90000
17,89669,60000
18,95977,150000
19,-4,-5
20,67021,190500
21,88416,497763
22,89167,40250
23,83214,-5
24,66029,-5
25,51390,185000
26,97075,105000
27,96674,497763
28,92784,-5
29,25905,53410
30,8528,34084
31,-4,74000
32,-4,-5
33,-5,0
34,6069,53000
35,53046,-5
36,-4,66510
37,56290,124100
38,12788,128000
39,26851,94000
40,38419,158110
41,57095,136500
42,22326,159000
43,15325,8016
44,37061,-2
45,50629,-5
46,78095,-5
47,75473,165000
48,24806,-5
49,71226,133115
50,78742,119800
51,-5,-5
52,69080,497763
53,43641,9960
54,-4,-5
55,-5,-5
56,76020,-5
57,30830,46833
58,91625,56312
59,98841,-2
60,82980,191000
61,99150,121515
62,36384,59000
63,87934,497763
64,92989,-5
65,75171,-5
66,22649,0
67,93246,-2
68,100000,497763
69,86703,205200
70,-4,40000
71,98077,-5
72,80538,42025
73,81527,-5
74,95536,-5
75,83379,185000
76,42780,160000
77,96835,155000
78,85347,-5
79,96084,-5
80,78759,32500
81,29497,-5
82,2168,-5
83,2366,-2
84,21008,18000
85,2427,4800
86,7198,22000
87,12463,24000
88,80798,62296
89,84980,-5
90,80298,173000
91,22823,67000
92,44375,36384
93,28438,87000
94,-4,45320
95,34573,50000
96,36772,52000
97,59411,65008
98,69552,16440
99,-5,41000
100,40421,81000
101,87368,-5
102,56649,-1
103,76421,125800
104,48175,-5
105,81787,70000
106,87651,136000
107,65347,89200
108,96818,120100
109,57445,-5
110,64697,130000
111,46195,140000
112,39529,75200
113,64537,-5
114,75984,-5
115,85492,-5
116,62654,-5
117,98349,-2
118,29212,-5
119,27671,22000
120,97847,153000
121,92618,-2
122,52132,215000
123,92204,-5
124,40114,12250
125,32107,-5
126,67259,-2
127,36287,-5
128,59846,-2
129,92817,94050
130,-5,-5
131,-5,-5
132,-5,-5
133,57983,45000
134,47098,-5
135,38315,160300
136,5875,-2
137,87283,264030
138,88326,186000
139,79832,81000
140,72878,225000
141,85861,125200
142,-4,-2
143,59838,-5
144,37874,44025
145,62607,-2
146,86932,94000
147,22466,100600
148,74997,-2
149,39973,184100
150,38129,39016
151,28478,-5
152,93332,177936
153,-5,16560
154,-5,-5
155,47003,11100
156,4975,0
157,43873,240000
158,85206,110000
159,89686,-5
160,77440,125050
161,47296,152000
162,98253,-5
163,86427,-5
164,22240,47000
165,46506,168000
166,58432,163500
167,33598,-5
168,19981,2160
169,18862,0
170,-5,-5
171,82207,-2
172,1230,11220
173,71044,-5
174,47279,-2
175,-4,24400
176,82495,-5
177,51881,-5
178,77068,112000
179,30455,85200
180,88334,-5
181,-5,98000
182,-5,9144
183,49623,-5
184,59078,61000
185,77155,-2
186,81515,110000
187,58788,-5
188,11983,12000
189,59286,150000
190,73636,157000
191,89270,212000
192,80480,497763
193,45527,130690
194,68738,-5
195,87917,175100
196,95117,-5
197,17107,29379
198,64239,243500
199,19225,15174
200,27551,106114
201,86603,241000
202,73184,19500
203,13970,-5
204,17136,4400
205,5082,-1
206,26440,-5
207,25802,-5
208,10352,-5
209,49080,-5
210,59040,157250
211,74988,47900
212,57814,265000
213,99460,-5
214,79883,146600
215,66226,-5
216,-5,-5
217,-5,-5
218,81447,497763
219,60012,197500
220,89381,122200
221,5315,18920
222,787,8148
223,9190,96700
224,13326,14040
225,2604,-5
226,25781,-5
227,6599,32772
228,2739,5720
229,52042,45000
230,34084,81200
231,36443,76162
232,55780,49254
233,31472,78000
234,35461,95500
235,61313,93000
236,71673,120830
237,64751,13392
238,-5,-5
239,13294,29188
240,50483,81600
241,22027,-5
242,30481,118720
243,62957,129050
244,73828,85500
245,81929,58500
246,82913,-5
247,52544,182000
248,8261,2400
249,45311,94300
250,-5,70000
251,-4,57000
252,-4,63250
253,34745,38000
254,94821,43000
255,46148,96677
256,56308,10500
257,58214,7000
258,76189,9952
259,56348,81000
260,83227,102080
261,73360,208000
262,33669,-5
263,49339,-5
264,93397,-5
265,96501,101234
266,-5,-5
267,23365,11040
268,49643,27564
269,83698,241000
270,77208,-5
271,53793,-5
272,94116,160000
273,64372,13200
274,88343,-2
275,72963,63500
276,48015,-5
277,32567,28000
278,51427,-5
279,59272,-5
280,89706,-5
281,72769,190500
282,85400,86000
283,15136,85500
284,44708,100000
285,15448,123600
286,62147,-2
287,22699,-5
288,15312,33952
289,28861,27900
290,11136,42000
291,42445,6283
292,92223,86200
293,91927,190000
294,62191,79200
295,29995,-5
296,25280,-5
297,68168,15000
298,13483,-5
299,12439,-2
300,2026,-5
301,18916,86000
302,5281,1700
303,7399,37000
304,11630,24326
305,40990,-1
306,27277,90000
307,48032,73549
308,10489,20570
309,27779,-5
310,18491,122000
311,24685,30000
312,52017,-2
313,30794,48140
314,-4,280000
315,4138,-5
316,18097,-2
317,78739,68017
318,19254,-5
319,58575,-1
320,68032,240000
321,76525,-5
322,23404,142000
323,65825,112000
324,10373,0
325,79151,-5
326,-5,-5
327,88257,-5
328,-5,-5
329,11508,-5
330,12377,-5
331,3428,10520
332,33426,21600
333,31724,166000
334,25149,-5
335,62746,29500
336,25563,27400
337,9044,16340
338,23937,-5
339,14391,25000
340,20415,11000
341,46696,-5
342,95123,149000
343,738,27000
344,95959,142500
345,59310,-5
346,43221,170400
347,65774,-5
348,36155,-5
349,35208,-5
350,47180,170000
351,19021,52688
352,40321,90400
353,53498,-5
354,65997,101614
355,55481,155000
356,41794,145000
